feature,importance
numeric__AQI_ema_7,148.1164995058252
categorical__City_Ahmedabad,60.88284044275036
numeric__AQI,29.885004016760103
numeric__AQI_lag_1,29.590233902677554
categorical__City_Delhi,28.032062190068032
categorical__City_Talcher,22.74787708204107
categorical__City_Gurugram,19.648742132124113
numeric__AQI_rolling_max_7,14.444051460036052
categorical__City_Coimbatore,13.253574926941745
categorical__City_Brajrajnagar,10.718422751769058
numeric__AQI_lag_3,10.529553343490326
categorical__City_Bengaluru,10.509787828694806
categorical__City_Jorapokhar,10.145583497578984
numeric__AQI_lag_1_log,9.688243350119395
categorical__City_Thiruvananthapuram,8.63682501387747
categorical__City_Amaravati,8.335573938576694
numeric__is_winter,8.108083223801597
categorical__City_Hyderabad,7.347242578396952
numeric__PM25_winter_interaction,6.813911329290829
categorical__City_Guwahati,6.542054698147141
numeric__AQI_lag_1_squared,6.3541635328807855
numeric__month,6.25367537762949
categorical__City_Chennai,6.0020161177416655
numeric__PM10_lag_2,5.962212268788538
numeric__NO2,5.705351247571313
numeric__PM10,5.586381137288819
numeric__AQI_lag_4,5.357155197787596
numeric__PM2.5_lag_2,4.880061116677803
numeric__AQI_lag_2,4.544174393066048
numeric__high_days_last_week,4.393069495415337
